id,numero_habitacion,fecha,estado,precio
1685682000101,101,2023/06/02,true,100.0
1685768400101,101,2023/06/03,true,100.0
1685854800101,101,2023/06/04,true,100.0
1685941200101,101,2023/06/05,true,100.0
1686027600101,101,2023/06/06,true,100.0
1686114000101,101,2023/06/07,true,100.0
1686200400101,101,2023/06/08,true,100.0
1686286800101,101,2023/06/09,true,100.0
1686373200101,101,2023/06/10,true,100.0
1686459600101,101,2023/06/11,true,100.0
1686546000101,101,2023/06/12,true,100.0
1686632400101,101,2023/06/13,true,100.0
1686718800101,101,2023/06/14,true,100.0
1686805200101,101,2023/06/15,true,100.0
1686891600101,101,2023/06/16,true,100.0
1686978000101,101,2023/06/17,true,100.0
1687064400101,101,2023/06/18,true,100.0
1687150800101,101,2023/06/19,true,100.0
1687237200101,101,2023/06/20,true,100.0
1687323600101,101,2023/06/21,true,100.0
1687410000101,101,2023/06/22,true,100.0
1687496400101,101,2023/06/23,true,100.0
1687582800101,101,2023/06/24,true,100.0
1687669200101,101,2023/06/25,true,100.0
1687755600101,101,2023/06/26,true,100.0
1687842000101,101,2023/06/27,true,100.0
1687928400101,101,2023/06/28,true,100.0
1688014800101,101,2023/06/29,true,100.0
1688101200101,101,2023/06/30,true,100.0
1688187600101,101,2023/07/01,true,100.0
1688274000101,101,2023/07/02,true,100.0
1688360400101,101,2023/07/03,true,100.0
1688446800101,101,2023/07/04,true,100.0
1688533200101,101,2023/07/05,true,100.0
1688619600101,101,2023/07/06,true,100.0
1688706000101,101,2023/07/07,true,100.0
1688792400101,101,2023/07/08,true,100.0
1688878800101,101,2023/07/09,true,100.0
1688965200101,101,2023/07/10,true,100.0
1689051600101,101,2023/07/11,true,100.0
1689138000101,101,2023/07/12,true,100.0
1689224400101,101,2023/07/13,true,100.0
1689310800101,101,2023/07/14,true,100.0
1689397200101,101,2023/07/15,true,100.0
1689483600101,101,2023/07/16,true,100.0
1689570000101,101,2023/07/17,true,100.0
1689656400101,101,2023/07/18,true,100.0
1689742800101,101,2023/07/19,true,100.0
1689829200101,101,2023/07/20,true,100.0
1689915600101,101,2023/07/21,true,100.0
1690002000101,101,2023/07/22,true,100.0
1690088400101,101,2023/07/23,true,100.0
1690174800101,101,2023/07/24,true,100.0
1690261200101,101,2023/07/25,true,100.0
1690347600101,101,2023/07/26,true,100.0
1690434000101,101,2023/07/27,true,100.0
